,지역,장애노인_1인가구_추정수,장애아동_인구수,장애인취업자,미수급자
137,노원구_상계10동,95,18,2.0,33.0
138,노원구_상계1동,319,75,8.0,108.0
139,노원구_상계2동,144,43,3.0,49.0
140,노원구_상계3.4동,274,44,6.0,94.0
141,노원구_상계5동,218,33,5.0,74.0
142,노원구_상계6.7동,217,62,5.0,74.0
143,노원구_상계8동,123,29,3.0,41.0
144,노원구_상계9동,122,29,3.0,41.0
145,노원구_월계1동,166,28,4.0,57.0
146,노원구_월계2동,381,56,9.0,130.0
147,노원구_월계3동,330,38,8.0,112.0
148,노원구_중계1동,120,47,3.0,41.0
149,노원구_중계2.3동,525,74,12.0,179.0
150,노원구_중계4동,253,44,6.0,86.0
151,노원구_중계본동,127,35,3.0,44.0
152,노원구_하계1동,350,50,8.0,119.0
153,노원구_하계2동,168,29,4.0,57.0
154,도봉구_도봉1동,251,29,8.0,92.0
155,도봉구_도봉2동,247,43,8.0,90.0
156,도봉구_방학1동,248,43,8.0,90.0
157,도봉구_방학2동,209,40,7.0,76.0
158,도봉구_방학3동,172,47,6.0,63.0
159,도봉구_쌍문1동,191,38,6.0,70.0
160,도봉구_쌍문2동,159,29,5.0,59.0
161,도봉구_쌍문3동,142,21,5.0,52.0
162,도봉구_쌍문4동,109,23,4.0,40.0
163,도봉구_창1동,168,22,6.0,62.0
164,도봉구_창2동,223,42,7.0,82.0
165,도봉구_창3동,133,31,4.0,48.0
166,도봉구_창4동,164,38,5.0,60.0
167,도봉구_창5동,162,37,5.0,59.0
168,동대문구_답십리1동,184,29,6.0,68.0
169,동대문구_답십리2동,242,32,8.0,90.0
170,동대문구_용신동,246,12,8.0,91.0
171,동대문구_이문1동,132,10,4.0,49.0
172,동대문구_이문2동,168,40,5.0,62.0
173,동대문구_장안1동,282,53,9.0,104.0
174,동대문구_장안2동,224,36,7.0,83.0
175,동대문구_전농1동,251,29,8.0,93.0
176,동대문구_전농2동,154,19,5.0,57.0
177,동대문구_제기동,232,32,7.0,86.0
178,동대문구_청량리동,206,12,6.0,77.0
179,동대문구_회기동,54,8,2.0,20.0
180,동대문구_휘경1동,86,24,3.0,32.0
181,동대문구_휘경2동,151,29,5.0,55.0
182,동작구_노량진1동,210,33,14.0,96.0
183,동작구_노량진2동,94,10,6.0,43.0
184,동작구_대방동,261,47,17.0,121.0
185,동작구_사당1동,132,16,9.0,61.0
186,동작구_사당2동,155,18,10.0,71.0
187,동작구_사당3동,128,28,8.0,59.0
188,동작구_사당4동,98,11,6.0,46.0
189,동작구_사당5동,87,22,6.0,40.0
190,동작구_상도1동,250,51,16.0,115.0
191,동작구_상도2동,154,37,10.0,71.0
192,동작구_상도3동,194,36,13.0,89.0
193,동작구_상도4동,217,73,14.0,100.0
194,동작구_신대방1동,138,24,9.0,64.0
195,동작구_신대방2동,126,36,8.0,57.0
196,동작구_흑석동,185,33,12.0,85.0
197,마포구_공덕동,249,39,54.0,118.0
198,마포구_대흥동,80,15,18.0,38.0
199,마포구_도화동,124,23,27.0,59.0
200,마포구_망원1동,136,21,30.0,65.0
201,마포구_망원2동,124,18,27.0,59.0
202,마포구_상암동,197,68,43.0,94.0
203,마포구_서강동,113,40,25.0,54.0
204,마포구_서교동,115,12,25.0,55.0
205,마포구_성산1동,113,29,25.0,54.0
206,마포구_성산2동,335,70,73.0,160.0
207,마포구_신수동,116,30,25.0,56.0
208,마포구_아현동,114,27,25.0,55.0
209,마포구_연남동,84,17,18.0,39.0
210,마포구_염리동,87,17,19.0,42.0
211,마포구_용강동,101,25,22.0,48.0
212,마포구_합정동,93,12,20.0,44.0
213,서대문구_남가좌1동,87,25,3.0,36.0
214,서대문구_남가좌2동,196,46,6.0,81.0
215,서대문구_북가좌1동,116,35,4.0,48.0
216,서대문구_북가좌2동,267,55,9.0,111.0
217,서대문구_북아현동,93,23,3.0,39.0
218,서대문구_신촌동,78,16,3.0,32.0
219,서대문구_연희동,211,56,7.0,87.0
220,서대문구_천연동,119,30,4.0,49.0
221,서대문구_충현동,125,13,4.0,52.0
222,서대문구_홍은1동,175,41,6.0,72.0
223,서대문구_홍은2동,206,50,7.0,85.0
224,서대문구_홍제1동,155,40,5.0,64.0
225,서대문구_홍제2동,106,23,3.0,44.0
226,서대문구_홍제3동,137,19,4.0,57.0
227,서초구_내곡동,141,79,26.0,82.0
228,서초구_반포1동,103,32,19.0,60.0
229,서초구_반포2동,39,14,7.0,23.0
230,서초구_반포3동,62,28,12.0,36.0
231,서초구_반포4동,60,23,11.0,35.0
232,서초구_반포본동,5,3,1.0,3.0
233,서초구_방배1동,80,19,15.0,47.0
234,서초구_방배2동,114,23,21.0,66.0
235,서초구_방배3동,70,18,13.0,41.0
236,서초구_방배4동,100,27,19.0,59.0
237,서초구_방배본동,80,20,15.0,47.0
238,서초구_서초1동,80,16,15.0,47.0
239,서초구_서초2동,76,26,14.0,44.0
240,서초구_서초3동,124,37,23.0,73.0
241,서초구_서초4동,79,45,15.0,46.0
242,서초구_양재1동,319,81,60.0,186.0
243,서초구_양재2동,115,34,21.0,66.0
244,서초구_잠원동,85,31,16.0,50.0
245,성동구_금호1가동,112,9,12.0,45.0
246,성동구_금호2.3가동,157,27,16.0,63.0
247,성동구_금호4가동,92,23,10.0,38.0
248,성동구_마장동,179,39,19.0,73.0
249,성동구_사근동,61,9,6.0,25.0
250,성동구_성수1가1동,98,15,10.0,40.0
251,성동구_성수1가2동,78,12,8.0,31.0
252,성동구_성수2가1동,131,16,14.0,53.0
253,성동구_성수2가3동,71,11,7.0,29.0
254,성동구_송정동,86,14,9.0,35.0
255,성동구_옥수동,121,29,13.0,49.0
256,성동구_왕십리2동,109,22,11.0,44.0
257,성동구_왕십리도선동,172,41,18.0,70.0
258,성동구_용답동,107,16,11.0,44.0
259,성동구_응봉동,92,17,10.0,37.0
260,성동구_행당1동,84,21,9.0,34.0
261,성동구_행당2동,151,24,16.0,61.0
262,성북구_길음1동,172,64,10.0,70.0
263,성북구_길음2동,104,23,6.0,42.0
264,성북구_돈암1동,103,19,6.0,41.0
265,성북구_돈암2동,114,30,7.0,46.0
266,성북구_동선동,93,13,5.0,37.0
267,성북구_보문동,101,18,6.0,40.0
268,성북구_삼선동,144,26,8.0,58.0
269,성북구_석관동,297,31,17.0,120.0
270,성북구_성북동,92,19,5.0,37.0
271,성북구_안암동,93,52,5.0,37.0
272,성북구_월곡1동,198,55,12.0,80.0
273,성북구_월곡2동,151,16,9.0,60.0
274,성북구_장위1동,197,44,12.0,80.0
275,성북구_장위2동,122,18,7.0,49.0
276,성북구_장위3동,103,23,6.0,41.0
277,성북구_정릉1동,112,29,7.0,46.0
278,성북구_정릉2동,161,27,9.0,65.0
279,성북구_정릉3동,119,22,7.0,48.0
280,성북구_정릉4동,178,28,10.0,72.0
281,성북구_종암동,271,60,16.0,109.0
282,송파구_가락1동,94,36,26.0,48.0
283,송파구_가락2동,157,21,43.0,80.0
