,인구수,구,동,장애노인_1인가구_추정수
209,17,마포구,연남동,84
210,17,마포구,염리동,87
211,25,마포구,용강동,101
212,12,마포구,합정동,93
213,25,서대문구,남가좌1동,87
214,46,서대문구,남가좌2동,196
215,35,서대문구,북가좌1동,116
216,55,서대문구,북가좌2동,267
217,23,서대문구,북아현동,93
218,16,서대문구,신촌동,78
219,56,서대문구,연희동,211
220,30,서대문구,천연동,119
221,13,서대문구,충현동,125
222,41,서대문구,홍은1동,175
223,50,서대문구,홍은2동,206
224,40,서대문구,홍제1동,155
225,23,서대문구,홍제2동,106
226,19,서대문구,홍제3동,137
227,79,서초구,내곡동,141
228,32,서초구,반포1동,103
229,14,서초구,반포2동,39
230,28,서초구,반포3동,62
231,23,서초구,반포4동,60
232,3,서초구,반포본동,5
233,19,서초구,방배1동,80
234,23,서초구,방배2동,114
235,18,서초구,방배3동,70
236,27,서초구,방배4동,100
237,20,서초구,방배본동,80
238,16,서초구,서초1동,80
239,26,서초구,서초2동,76
240,37,서초구,서초3동,124
241,45,서초구,서초4동,79
242,81,서초구,양재1동,319
243,34,서초구,양재2동,115
244,31,서초구,잠원동,85
245,9,성동구,금호1가동,112
246,27,성동구,금호2.3가동,157
247,23,성동구,금호4가동,92
248,39,성동구,마장동,179
249,9,성동구,사근동,61
250,15,성동구,성수1가1동,98
251,12,성동구,성수1가2동,78
252,16,성동구,성수2가1동,131
253,11,성동구,성수2가3동,71
254,14,성동구,송정동,86
255,29,성동구,옥수동,121
256,22,성동구,왕십리2동,109
257,41,성동구,왕십리도선동,172
258,16,성동구,용답동,107
259,17,성동구,응봉동,92
260,21,성동구,행당1동,84
261,24,성동구,행당2동,151
262,64,성북구,길음1동,172
263,23,성북구,길음2동,104
264,19,성북구,돈암1동,103
265,30,성북구,돈암2동,114
266,13,성북구,동선동,93
267,18,성북구,보문동,101
268,26,성북구,삼선동,144
269,31,성북구,석관동,297
270,19,성북구,성북동,92
271,52,성북구,안암동,93
272,55,성북구,월곡1동,198
273,16,성북구,월곡2동,151
274,44,성북구,장위1동,197
275,18,성북구,장위2동,122
276,23,성북구,장위3동,103
277,29,성북구,정릉1동,112
278,27,성북구,정릉2동,161
279,22,성북구,정릉3동,119
280,28,성북구,정릉4동,178
281,60,성북구,종암동,271
282,36,송파구,가락1동,94
283,21,송파구,가락2동,157
284,28,송파구,가락본동,126
285,13,송파구,거여1동,104
286,30,송파구,거여2동,167
287,44,송파구,마천1동,206
288,30,송파구,마천2동,205
289,20,송파구,문정1동,93
290,22,송파구,문정2동,89
291,22,송파구,방이1동,70
292,22,송파구,방이2동,130
293,37,송파구,삼전동,153
294,29,송파구,석촌동,169
295,16,송파구,송파1동,119
296,22,송파구,송파2동,85
297,65,송파구,오금동,241
298,18,송파구,오륜동,51
299,106,송파구,위례동,189
300,51,송파구,잠실2동,98
301,39,송파구,잠실3동,116
302,33,송파구,잠실4동,74
303,22,송파구,잠실6동,63
304,7,송파구,잠실7동,37
305,26,송파구,잠실본동,129
306,88,송파구,장지동,223
307,26,송파구,풍납1동,105
308,42,송파구,풍납2동,137
309,45,양천구,목1동,116
310,37,양천구,목2동,178
311,21,양천구,목3동,153
312,42,양천구,목4동,147
313,40,양천구,목5동,120
314,33,양천구,신월1동,212
315,37,양천구,신월2동,162
316,32,양천구,신월3동,156
317,31,양천구,신월4동,152
318,16,양천구,신월5동,122
319,31,양천구,신월6동,76
320,21,양천구,신월7동,195
321,24,양천구,신정1동,93
322,33,양천구,신정2동,124
323,103,양천구,신정3동,369
324,41,양천구,신정4동,270
325,25,양천구,신정6동,78
326,42,양천구,신정7동,230
327,20,영등포구,당산1동,129
328,33,영등포구,당산2동,160
329,20,영등포구,대림1동,141
330,20,영등포구,대림2동,121
331,24,영등포구,대림3동,191
332,19,영등포구,도림동,150
333,39,영등포구,문래동,150
334,17,영등포구,신길1동,141
335,25,영등포구,신길3동,141
336,11,영등포구,신길4동,104
337,22,영등포구,신길5동,92
338,42,영등포구,신길6동,133
339,30,영등포구,신길7동,95
340,21,영등포구,양평1동,112
341,25,영등포구,양평2동,103
342,44,영등포구,여의동,128
343,20,영등포구,영등포동,172
344,28,영등포구,영등포본동,177
345,4,용산구,남영동,87
346,11,용산구,보광동,100
347,24,용산구,서빙고동,62
348,19,용산구,용문동,80
349,7,용산구,용산2가동,77
350,22,용산구,원효로1동,76
351,20,용산구,원효로2동,77
352,31,용산구,이촌1동,84
353,13,용산구,이촌2동,60
354,12,용산구,이태원1동,39
355,9,용산구,이태원2동,53
356,23,용산구,청파동,138
357,20,용산구,한강로동,84
358,10,용산구,한남동,100
359,10,용산구,효창동,53
360,42,용산구,후암동,126
361,35,은평구,갈현1동,177
362,32,은평구,갈현2동,203
363,115,은평구,구산동,378
364,45,은평구,녹번동,276
365,25,은평구,대조동,207
366,59,은평구,불광1동,290
367,38,은평구,불광2동,243
368,24,은평구,수색동,103
369,37,은평구,신사1동,206
370,35,은평구,신사2동,157
371,82,은평구,역촌동,362
372,65,은평구,응암1동,223
373,71,은평구,응암2동,166
374,32,은평구,응암3동,223
375,22,은평구,증산동,119
376,114,은평구,진관동,332
377,6,종로구,가회동,30
378,21,종로구,교남동,60
379,20,종로구,무악동,54
380,11,종로구,부암동,54
381,18,종로구,사직동,47
382,3,종로구,삼청동,18
383,9,종로구,숭인1동,49
384,7,종로구,숭인2동,71
385,6,종로구,이화동,54
386,2,종로구,종로1.2.3.4가동,64
387,5,종로구,종로5.6가동,44
388,6,종로구,창신1동,48
389,8,종로구,창신2동,84
390,14,종로구,창신3동,57
391,36,종로구,청운효자동,75
392,11,종로구,평창동,86
393,26,종로구,혜화동,103
394,2,중구,광희동,41
395,9,중구,다산동,111
396,18,중구,동화동,72
397,1,중구,명동,21
398,6,중구,신당5동,81
399,6,중구,신당동,67
400,12,중구,약수동,143
401,5,중구,장충동,33
402,17,중구,중림동,87
403,17,중구,청구동,106
404,7,중구,필동,30
405,12,중구,황학동,84
406,2,중구,회현동,51
407,16,중랑구,망우3동,161
408,55,중랑구,망우본동,299
409,38,중랑구,면목2동,209
410,32,중랑구,면목3.8동,216
411,27,중랑구,면목4동,212
412,29,중랑구,면목5동,107
413,17,중랑구,면목7동,175
414,27,중랑구,면목본동,284
415,49,중랑구,묵1동,249
416,22,중랑구,묵2동,156
417,34,중랑구,상봉1동,235
418,13,중랑구,상봉2동,142
419,81,중랑구,신내1동,322
420,32,중랑구,신내2동,250
421,30,중랑구,중화1동,158
422,35,중랑구,중화2동,252
423,0,중구,소공동,6
424,0,중구,을지로동,15
425,0,강동구,둔촌1동,1
