,구,동,계,비율,장애인취업자,대상자_수,수급자_수
92,관악구,은천동,1653.0,0.08178714561,14.0,308.0,198.0
93,관악구,성현동,1423.0,0.070407204,12.0,265.0,171.0
94,관악구,조원동,702.0,0.03473356093,6.0,131.0,84.0
95,광진구,자양2동,929.0,0.07581816698,9.0,165.0,95.0
96,광진구,자양3동,803.0,0.06553497103,8.0,142.0,83.0
97,광진구,중곡2동,882.0,0.07198237166,9.0,156.0,91.0
98,광진구,중곡3동,743.0,0.06063821105,8.0,132.0,76.0
99,광진구,자양4동,872.0,0.071166245,9.0,155.0,90.0
100,광진구,구의3동,813.0,0.06635109769,8.0,144.0,84.0
101,광진구,자양1동,940.0,0.07671590631,10.0,167.0,97.0
102,광진구,광장동,717.0,0.05851628173,7.0,127.0,74.0
103,광진구,화양동,537.0,0.0438260018,5.0,95.0,55.0
104,광진구,구의2동,1067.0,0.08708071493,11.0,189.0,110.0
105,광진구,구의1동,789.0,0.0643923937,8.0,140.0,81.0
106,광진구,군자동,802.0,0.06545335836,8.0,142.0,82.0
107,광진구,중곡1동,664.0,0.05419081041,7.0,118.0,68.0
108,광진구,능동,387.0,0.03158410185,4.0,69.0,40.0
109,광진구,중곡4동,1308.0,0.1067493675,13.0,232.0,134.0
110,구로구,가리봉동,538.0,0.02928050506,7.0,100.0,65.0
111,구로구,항동,564.0,0.03069554806,8.0,105.0,68.0
112,구로구,개봉1동,1674.0,0.09110699902,22.0,311.0,202.0
113,구로구,구로2동,1424.0,0.07750081637,19.0,265.0,172.0
114,구로구,구로5동,1134.0,0.0617176445,15.0,211.0,137.0
115,구로구,수궁동,1273.0,0.06928268205,17.0,237.0,154.0
116,구로구,개봉3동,1053.0,0.05730924132,14.0,196.0,127.0
117,구로구,오류2동,2075.0,0.112931316,28.0,386.0,250.0
118,구로구,고척2동,1320.0,0.07184064439,18.0,246.0,159.0
119,구로구,고척1동,1105.0,0.06013932731,15.0,206.0,133.0
120,구로구,오류1동,1112.0,0.06052030042,15.0,207.0,134.0
121,구로구,구로4동,1247.0,0.06786763906,17.0,232.0,150.0
122,구로구,구로3동,925.0,0.0503428758,12.0,172.0,112.0
123,구로구,구로1동,530.0,0.02884510722,7.0,99.0,64.0
124,구로구,신도림동,947.0,0.05154021988,13.0,176.0,114.0
125,구로구,개봉2동,1453.0,0.07907913356,19.0,270.0,175.0
126,금천구,독산4동,797.0,0.06955838715,23.0,146.0,100.0
127,금천구,가산동,739.0,0.06449642171,21.0,135.0,93.0
128,금천구,독산1동,1989.0,0.1735905045,57.0,365.0,250.0
129,금천구,독산2동,966.0,0.08430790714,28.0,177.0,121.0
130,금천구,독산3동,1216.0,0.1061267237,35.0,223.0,153.0
131,금천구,시흥1동,1675.0,0.1461860709,48.0,307.0,211.0
132,금천구,시흥2동,1124.0,0.0980973992,32.0,206.0,141.0
133,금천구,시흥4동,1143.0,0.09975562925,33.0,209.0,144.0
134,금천구,시흥5동,1256.0,0.1096177343,36.0,230.0,158.0
135,금천구,시흥3동,553.0,0.0482632222,16.0,101.0,69.0
136,노원구,상계5동,1296.0,0.04817127565,5.0,320.0,246.0
137,노원구,상계1동,1895.0,0.07043562296,8.0,468.0,360.0
138,노원구,중계2.3동,3120.0,0.1159678858,12.0,771.0,592.0
139,노원구,상계6.7동,1288.0,0.04787392209,5.0,318.0,244.0
140,노원구,월계1동,988.0,0.03672316384,4.0,244.0,187.0
141,노원구,상계10동,565.0,0.02100059471,2.0,140.0,107.0
142,노원구,상계9동,725.0,0.02694766577,3.0,179.0,138.0
143,노원구,상계8동,730.0,0.02713351175,3.0,180.0,139.0
144,노원구,상계2동,854.0,0.03174249182,3.0,211.0,162.0
145,노원구,공릉1동,2203.0,0.08188373476,9.0,545.0,418.0
146,노원구,중계4동,1502.0,0.05582812965,6.0,371.0,285.0
147,노원구,중계1동,711.0,0.02642729706,3.0,176.0,135.0
148,노원구,월계2동,2262.0,0.08407671722,9.0,559.0,429.0
149,노원구,월계3동,1959.0,0.07281445138,8.0,484.0,372.0
150,노원구,상계3.4동,1625.0,0.06039994053,6.0,402.0,308.0
151,노원구,하계1동,2076.0,0.0771632471,8.0,513.0,394.0
152,노원구,하계2동,995.0,0.0369833482,4.0,246.0,189.0
153,노원구,중계본동,756.0,0.02809991079,3.0,187.0,143.0
154,노원구,공릉2동,1354.0,0.05032708891,5.0,335.0,257.0
155,도봉구,방학2동,1239.0,0.08098039216,7.0,238.0,162.0
156,도봉구,창4동,976.0,0.06379084967,5.0,187.0,127.0
157,도봉구,창3동,787.0,0.0514379085,4.0,151.0,103.0
158,도봉구,창1동,997.0,0.06516339869,6.0,192.0,130.0
159,도봉구,방학3동,1020.0,0.06666666667,6.0,196.0,133.0
160,도봉구,방학1동,1470.0,0.09607843137,8.0,282.0,192.0
161,도봉구,쌍문3동,844.0,0.05516339869,5.0,162.0,110.0
162,도봉구,쌍문1동,1133.0,0.07405228758,6.0,218.0,148.0
163,도봉구,도봉1동,1489.0,0.09732026144,8.0,286.0,194.0
164,도봉구,창5동,960.0,0.06274509804,5.0,184.0,125.0
165,도봉구,창2동,1327.0,0.08673202614,7.0,255.0,173.0
166,도봉구,도봉2동,1465.0,0.09575163399,8.0,281.0,191.0
167,도봉구,쌍문4동,646.0,0.04222222222,4.0,124.0,84.0
168,도봉구,쌍문2동,947.0,0.06189542484,5.0,182.0,123.0
169,동대문구,장안2동,1329.0,0.0856424797,7.0,232.0,149.0
170,동대문구,이문1동,786.0,0.05065085707,4.0,137.0,88.0
171,동대문구,이문2동,1000.0,0.06444129398,5.0,174.0,112.0
172,동대문구,제기동,1376.0,0.08867122052,7.0,240.0,154.0
173,동대문구,전농2동,915.0,0.05896378399,5.0,160.0,103.0
174,동대문구,답십리2동,1437.0,0.09260213945,8.0,251.0,161.0
175,동대문구,장안1동,1674.0,0.1078747261,9.0,292.0,188.0
176,동대문구,전농1동,1491.0,0.09608196933,8.0,260.0,167.0
177,동대문구,청량리동,1225.0,0.07894058513,6.0,214.0,137.0
178,동대문구,휘경2동,896.0,0.05773939941,5.0,156.0,101.0
179,동대문구,휘경1동,512.0,0.03299394252,3.0,89.0,57.0
180,동대문구,회기동,321.0,0.02068565537,2.0,56.0,36.0
181,동대문구,용신동,1461.0,0.09414873051,8.0,255.0,164.0
