,구,동,계,비율
152,강북구,인수동,1797.0,0.1033055476
154,도봉구,쌍문1동,1133.0,0.07405228758
155,도봉구,쌍문2동,947.0,0.06189542484
156,도봉구,쌍문3동,844.0,0.05516339869
157,도봉구,쌍문4동,646.0,0.04222222222
158,도봉구,방학1동,1470.0,0.09607843137
159,도봉구,방학2동,1239.0,0.08098039216
160,도봉구,방학3동,1020.0,0.06666666667
161,도봉구,창1동,997.0,0.06516339869
162,도봉구,창2동,1327.0,0.08673202614
163,도봉구,창3동,787.0,0.0514379085
164,도봉구,창4동,976.0,0.06379084967
165,도봉구,창5동,960.0,0.06274509804
166,도봉구,도봉1동,1489.0,0.09732026144
167,도봉구,도봉2동,1465.0,0.09575163399
169,노원구,월계1동,988.0,0.03672316384
170,노원구,월계2동,2262.0,0.08407671722
171,노원구,월계3동,1959.0,0.07281445138
172,노원구,공릉2동,1354.0,0.05032708891
173,노원구,하계1동,2076.0,0.0771632471
174,노원구,하계2동,995.0,0.0369833482
175,노원구,중계본동,756.0,0.02809991079
176,노원구,중계1동,711.0,0.02642729706
177,노원구,중계4동,1502.0,0.05582812965
178,노원구,상계1동,1895.0,0.07043562296
179,노원구,상계2동,854.0,0.03174249182
180,노원구,상계5동,1296.0,0.04817127565
181,노원구,상계8동,730.0,0.02713351175
182,노원구,상계9동,725.0,0.02694766577
183,노원구,상계10동,565.0,0.02100059471
184,노원구,상계3.4동,1625.0,0.06039994053
185,노원구,상계6.7동,1288.0,0.04787392209
186,노원구,중계2.3동,3120.0,0.1159678858
187,노원구,공릉1동,2203.0,0.08188373476
189,은평구,녹번동,1637.0,0.07524361096
190,은평구,불광1동,1720.0,0.07905865049
191,은평구,갈현1동,1049.0,0.04821658393
192,은평구,갈현2동,1207.0,0.05547894834
193,은평구,구산동,2243.0,0.103097996
194,은평구,대조동,1231.0,0.0565820923
195,은평구,응암1동,1324.0,0.06085677514
196,은평구,응암2동,984.0,0.04522890237
197,은평구,신사1동,1226.0,0.05635227064
198,은평구,신사2동,933.0,0.04288472146
199,은평구,증산동,705.0,0.03240485383
200,은평구,수색동,609.0,0.02799227799
201,은평구,진관동,1969.0,0.09050376908
202,은평구,불광2동,1441.0,0.06623460195
203,은평구,응암3동,1325.0,0.06090273947
204,은평구,역촌동,2153.0,0.0989612061
206,서대문구,천연동,708.0,0.05750954431
207,서대문구,홍제1동,922.0,0.07489237267
208,서대문구,홍제3동,812.0,0.06595727398
209,서대문구,홍제2동,629.0,0.05109251889
210,서대문구,홍은1동,1039.0,0.08439606856
211,서대문구,홍은2동,1223.0,0.09934205182
212,서대문구,남가좌1동,519.0,0.04215742019
213,서대문구,남가좌2동,1163.0,0.09446836163
214,서대문구,북가좌1동,688.0,0.05588498091
215,서대문구,북가좌2동,1588.0,0.1289903338
216,서대문구,충현동,745.0,0.0605149866
217,서대문구,북아현동,554.0,0.04500040614
218,서대문구,신촌동,466.0,0.03785232719
219,서대문구,연희동,1255.0,0.1019413533
221,마포구,용강동,599.0,0.04627269216
222,마포구,대흥동,477.0,0.03684820394
223,마포구,염리동,516.0,0.03986095017
224,마포구,신수동,689.0,0.05322518347
225,마포구,서교동,684.0,0.05283893395
226,마포구,합정동,554.0,0.0427964465
227,마포구,망원1동,805.0,0.06218617227
228,마포구,망원2동,734.0,0.05670142912
229,마포구,연남동,496.0,0.03831595211
230,마포구,성산1동,670.0,0.0517574353
231,마포구,성산2동,1989.0,0.1536500579
232,마포구,상암동,1170.0,0.09038238702
233,마포구,도화동,735.0,0.05677867903
234,마포구,서강동,672.0,0.05191193511
235,마포구,공덕동,1476.0,0.1140208575
236,마포구,아현동,679.0,0.05245268443
238,양천구,목1동,686.0,0.03914407989
239,양천구,목2동,1058.0,0.06037089872
240,양천구,목3동,907.0,0.05175463623
241,양천구,목4동,871.0,0.04970042796
242,양천구,신월1동,1260.0,0.07189728959
243,양천구,신월2동,963.0,0.05495007133
244,양천구,신월3동,929.0,0.05300998573
245,양천구,신월4동,903.0,0.05152639087
246,양천구,신월5동,722.0,0.04119828816
247,양천구,신월6동,449.0,0.02562054208
248,양천구,신월7동,1156.0,0.06596291013
249,양천구,신정1동,550.0,0.03138373752
250,양천구,신정2동,739.0,0.04216833096
251,양천구,신정3동,2191.0,0.125021398
252,양천구,신정6동,462.0,0.02636233951
253,양천구,신정7동,1366.0,0.07794579173
254,양천구,목5동,712.0,0.04062767475
255,양천구,신정4동,1601.0,0.09135520685
257,강서구,염창동,1047.0,0.0366776431
258,강서구,등촌1동,744.0,0.02606319624
259,강서구,등촌2동,710.0,0.0248721362
260,강서구,등촌3동,3714.0,0.1301057942
261,강서구,화곡본동,1402.0,0.0491137112
262,강서구,화곡2동,755.0,0.0264485392
263,강서구,화곡3동,820.0,0.02872556575
264,강서구,화곡4동,999.0,0.03499614657
265,강서구,화곡6동,969.0,0.03394521124
266,강서구,화곡8동,1040.0,0.03643242486
267,강서구,가양1동,796.0,0.02788481749
268,강서구,가양2동,2416.0,0.08463532544
269,강서구,가양3동,1660.0,0.05815175506
270,강서구,발산1동,1490.0,0.05219645484
271,강서구,공항동,1315.0,0.04606599874
272,강서구,방화1동,1755.0,0.06147971695
273,강서구,방화2동,1605.0,0.05622504029
274,강서구,방화3동,1991.0,0.0697470749
